Associate_id,AssocFirstName,AssocLastName,AssocMiddleInitial,AssocSuffix,AssocDOB,TenureDate
88,Aurthur,Hewins,E,IV,6/21/1971,11/4/2001
89,Lin,Swaffield,B,IV,9/10/1974,6/9/2001
90,Stefano,Keling,J,Jr,8/10/1967,9/26/2002
91,Alyss,O'Dyvoie,I,Jr,5/20/1965,12/7/2002
92,Malissia,Bidmead,G,II,1/20/1967,3/15/2000
93,Fredrick,Sturror,O,III,6/29/1965,12/31/2001
94,Georgiana,Ledgley,V,II,12/3/1977,9/26/2003
95,Caresse,Bulpitt,W,Sr,10/17/1973,9/20/2003
96,Caddric,Mc Gaughey,U,IV,10/7/1969,1/7/2000
97,Price,Garett,E,Sr,2/14/1975,8/12/2001
98,Lynn,Giorgini,R,III,4/5/1965,10/27/2000
99,Alidia,Maxted,Q,III,3/5/1968,7/30/2002
100,Jodee,Clausson,G,III,9/10/1964,6/1/2001
101,Ede,McCuaig,M,II,7/17/1965,11/15/2004
102,Basilius,Paszek,B,IV,7/24/1972,6/15/2002
103,Concettina,Blewis,M,II,1/31/1963,2/17/2003
104,Muire,Mullord,Z,IV,7/1/1965,5/8/2002
105,Bill,McCosker,A,II,3/20/1965,6/19/2002
106,Kalil,Spensly,S,Sr,9/6/1971,12/18/2002
107,Scarlet,Jarret,P,Jr,11/12/1977,2/15/2000
108,Eward,Avrahamy,W,IV,10/9/1974,4/5/2004
109,Tonya,Trevithick,J,II,3/8/1975,5/10/2001
110,Binnie,Everson,H,Sr,9/7/1973,3/10/2000
111,Benjamen,Loyd,S,II,2/8/1974,9/19/2001
112,Sigfrid,Urey,Y,III,8/16/1965,3/9/2004
113,Rosella,Goodsell,Z,III,12/26/1978,2/25/2004
114,Ora,Sirl,D,II,1/6/1968,5/28/2004
115,Gretchen,Uebel,Q,III,6/30/1966,7/1/2004
116,Malina,Yelding,G,Jr,4/29/1975,12/11/2000
117,Paulina,Banbrook,K,IV,3/7/1975,4/15/2003
118,Katerina,Alexandrescu,S,Jr,9/2/1976,5/6/2000
119,Hephzibah,Parris,L,Sr,6/17/1964,10/17/2002
120,Bradly,Bythell,B,III,12/25/1977,6/6/2001
121,Mariette,Kubin,K,IV,10/10/1965,3/25/2001
122,Antonella,Bettaney,A,II,7/2/1972,5/14/2002
123,Nissa,Nellis,S,III,7/8/1978,12/30/2003
124,Wilfred,Portress,K,II,6/1/1977,4/12/2003
125,Gloriana,Wollrauch,M,Sr,11/16/1973,2/24/2001
126,Hamnet,Gobeau,B,IV,12/3/1969,3/9/2004
127,Melisandra,Grinishin,X,Jr,6/23/1970,8/30/2003
128,Lydon,Blease,T,Jr,8/1/1962,8/12/2004
129,Muriel,Berzin,P,Sr,1/29/1963,1/10/2004
130,Lorena,Harpin,T,II,7/24/1966,9/29/2000
131,Nestor,Stolting,G,IV,12/1/1963,8/23/2002
132,Legra,Harbottle,J,IV,5/25/1979,3/10/2001
133,Borg,Giffaut,X,II,5/27/1973,6/9/2004
134,Marmaduke,Ciccottio,B,Sr,10/13/1966,12/13/2001
135,Anabelle,Menichi,R,Sr,4/29/1975,4/24/2002
136,Lorrie,Gipps,Z,II,9/8/1963,12/1/2002
137,Reese,Grassett,F,II,9/6/1960,3/2/2002
138,Wheeler,Bendin,Q,II,12/30/1978,3/26/2002
139,Ashli,Jentzsch,N,II,2/1/1963,1/5/2001
140,Nananne,Broadhead,D,Sr,1/29/1974,12/16/2000
141,Alfy,Conan,N,II,7/28/1963,3/16/2003
142,Leshia,Vasyunin,N,Sr,12/23/1968,7/26/2002
143,Britta,Stores,O,Jr,7/5/1966,7/30/2004
144,Daryn,Stollenbecker,G,II,9/11/1978,11/24/2001
145,Correna,Clymer,N,II,7/14/1961,10/20/2001
146,Latrena,Millmoe,R,Sr,12/20/1969,3/21/2002
147,Brendis,Gerrill,E,Sr,8/24/1971,4/1/2000
148,Boot,Craythorne,A,IV,6/19/1978,2/22/2003
149,Jess,Hancill,A,IV,11/12/1970,11/20/2000
150,Rollins,Wynrahame,A,III,7/25/1964,12/7/2001
151,Ingar,Juggins,E,IV,2/23/1970,8/7/2004
152,Armin,Handlin,M,III,10/28/1963,7/7/2004
153,Gil,Cram,U,Jr,4/30/1961,10/15/2002
154,Domini,Stirton,A,Sr,4/11/1976,4/30/2003
155,Wrennie,Duncan,J,Jr,2/23/1964,4/27/2001
156,Teddi,Entwistle,I,Sr,7/6/1977,2/3/2001
157,Kingston,Moyle,Z,II,11/14/1977,10/11/2001
158,Oren,Shewen,I,III,6/24/1961,1/26/2004
159,Reginauld,Puncher,L,IV,2/13/1965,3/4/2004
160,Faustine,Doerrling,X,IV,12/1/1963,2/15/2000
161,Seymour,Wooff,U,II,8/13/1973,3/28/2001
162,Ingra,Rothery,K,III,7/10/1962,12/3/2000
163,Heddie,Truter,E,Sr,11/5/1970,2/8/2001
164,Jereme,Klimkiewich,J,III,7/30/1974,6/15/2001
165,Loree,Cossor,Y,IV,4/27/1970,10/27/2002
166,Callie,Brugden,C,Jr,4/16/1974,8/18/2000
167,Nadine,Haselhurst,E,II,5/11/1963,8/1/2001
168,Cornall,Dyment,S,IV,11/12/1974,3/3/2000
169,Ralph,Lebrun,I,III,1/25/1971,6/21/2001
170,Boonie,Beckford,O,Jr,1/2/1968,6/14/2003
171,Lew,Chue,E,Jr,5/22/1979,7/26/2000
172,Johnnie,Kochlin,K,IV,12/12/1975,6/27/2004
173,Murvyn,Stoneham,G,IV,4/13/1978,4/7/2001
174,Fremont,Cheesworth,X,IV,6/24/1967,2/23/2004
175,Rey,Klimowski,L,Sr,7/10/1973,4/7/2003
176,Winnie,Stot,D,II,12/18/1964,10/13/2002
177,Arman,Osgood,Q,II,3/8/1977,7/8/2002
178,Eddie,Mill,D,III,1/17/1964,3/25/2001
179,Edlin,Spurdens,I,III,11/3/1964,5/15/2001
180,Derk,Hamnett,N,IV,10/17/1973,1/16/2004
181,Coleman,Callingham,P,Jr,6/20/1964,11/24/2003
182,Maddy,Gasson,O,IV,3/23/1960,8/27/2000
183,Oby,Broadbear,K,II,11/19/1968,10/15/2000
184,Aileen,Heselwood,B,III,12/1/1965,8/3/2004
185,Humphrey,Edgeon,N,Jr,2/7/1964,11/12/2003
186,Aksel,Caudell,O,IV,11/19/1971,6/24/2003
187,Leonard,Brimner,F,II,5/16/1967,11/19/2004
188,Lorant,Yellowlea,N,Sr,8/6/1974,9/3/2001
189,Chadwick,Hedan,V,II,7/21/1964,9/18/2000
190,Rori,Orry,R,II,7/3/1969,10/15/2000
191,Maryellen,Cuberley,P,II,7/22/1978,1/7/2004
192,Adoree,Barthot,W,Sr,8/1/1960,3/16/2003
193,Herb,Breitling,F,Jr,5/9/1979,11/2/2001
194,Tarah,Moxon,D,IV,8/10/1971,2/28/2002
195,Kandy,Mallord,P,Sr,12/28/1961,9/22/2004
196,Ferdinande,Pharro,K,III,6/6/1966,1/11/2003
197,Tressa,Rand,M,II,2/17/1969,3/27/2002
198,Antoine,Jans,P,III,7/22/1975,6/17/2004
199,Sonnie,Colaton,H,III,6/10/1971,9/22/2002
200,Alard,Stener,H,IV,10/21/1973,6/9/2003
201,Florina,Drakard,Y,IV,2/9/1970,1/2/2003
202,Law,Thumim,P,II,10/24/1962,11/22/2004
203,Regan,Durrett,Y,Sr,7/20/1965,4/28/2003
204,Alfonse,Sysland,R,Jr,5/25/1970,10/8/2004
205,Ninnetta,Seccombe,N,III,11/3/1968,1/7/2002
206,Bronny,MacNalley,Z,Sr,7/5/1961,8/13/2002
207,Bettina,Nicholes,L,II,7/2/1961,8/12/2002
208,Harlen,Tomasutti,T,III,8/5/1961,12/8/2004
209,Marcellina,Rutherford,N,Sr,5/17/1962,4/26/2003
210,Alexa,Seyers,O,IV,11/28/1974,9/6/2003
211,Jervis,Targe,S,IV,3/17/1975,1/22/2000
212,Hallie,Teaser,C,Jr,11/21/1964,8/22/2004
213,Rosalie,Caroli,Y,Jr,6/22/1963,2/10/2000
214,Lazaro,Teaze,X,Jr,10/22/1966,8/27/2003
215,Irena,Kohlerman,Y,Jr,12/29/1979,2/20/2000
216,Scot,Elles,B,III,12/25/1963,11/11/2003
217,Nessie,Swash,G,Jr,9/18/1963,1/9/2000
218,Yalonda,Hurne,Z,III,1/27/1979,6/23/2002
219,Reba,Thring,T,Sr,2/23/1961,9/19/2001
220,Amaleta,Pirazzi,Q,Jr,8/15/1969,8/20/2002
221,Charlene,Crosetti,L,IV,2/16/1976,10/4/2004
222,Marlie,Wathen,C,II,3/1/1971,12/18/2000
223,Latrena,Snow,I,III,4/18/1978,4/21/2002
224,Templeton,Merrilees,A,III,6/21/1970,3/22/2002
225,Mamie,Raimbauld,R,IV,1/8/1972,6/24/2002
226,Indira,Markus,P,IV,9/13/1960,10/3/2002
227,Ly,Craske,E,Sr,5/10/1961,8/10/2004
228,Eddie,Barrs,I,Sr,11/15/1979,8/6/2002
229,Orsola,Hollington,V,II,11/28/1964,10/15/2003
230,Aeriela,Blackborow,M,II,4/25/1972,2/10/2003
231,Lilah,Unger,L,Jr,9/20/1978,4/20/2001
232,Sunny,Peppard,E,II,1/26/1968,2/20/2004
233,Pedro,Faccini,K,Sr,10/14/1975,10/1/2002
234,Felita,Barratt,O,IV,4/5/1975,9/15/2000
235,Terence,Doe,L,Jr,1/29/1961,3/24/2004
236,Patti,O'Monahan,S,Sr,3/11/1961,6/5/2002
237,Maje,Wackett,F,II,2/7/1978,10/30/2001
238,Glad,Whitehorne,L,IV,9/8/1974,9/9/2004
239,Chloris,Tithecott,M,Sr,12/25/1960,4/12/2000
240,Anne-marie,Wayland,F,Jr,10/29/1960,6/13/2002
241,Ulick,Townsley,X,IV,2/20/1962,9/26/2004
242,Gilberto,Begwell,Z,III,6/22/1978,11/5/2002
243,Alexia,Toulson,J,Jr,8/2/1961,6/4/2000
244,Osmund,Hotchkin,Y,Sr,8/2/1976,5/6/2003
245,Paxon,Mayler,V,Jr,6/5/1970,9/19/2001
246,Jasmina,Greiser,Q,Jr,7/19/1971,6/27/2000
247,Andy,Brearty,A,Sr,3/7/1963,11/23/2003
248,Allianora,Dobbie,U,II,3/14/1972,2/21/2003
249,Wendie,Matthewes,B,II,1/3/1979,4/13/2002
250,Tymon,Pickerin,B,Sr,3/6/1978,12/26/2000
251,Janka,Willsmore,B,II,9/21/1961,5/16/2000
252,Claudina,Edwardson,O,Sr,11/3/1976,12/2/2003
253,Emmey,Cogger,V,III,10/7/1971,10/6/2002
254,Camey,Kinder,X,III,7/19/1979,1/10/2002
255,Farly,Willisch,K,IV,6/2/1978,8/2/2004
256,Dierdre,Flag,Y,II,2/24/1977,10/5/2004
257,Marlo,McGown,R,Sr,6/21/1978,11/13/2004
258,Kendell,Mardlin,Z,III,5/20/1961,11/22/2004
259,Edithe,Kohen,E,II,10/31/1971,3/26/2002
260,Joyce,De Bruijn,S,II,9/6/1961,2/26/2002
261,Garry,Eslemont,Z,III,10/15/1968,8/7/2004
262,Prentiss,Lile,R,Jr,7/19/1969,3/5/2004
263,Hazel,Kentwell,K,III,2/18/1963,11/18/2004
264,Conchita,Hidderley,M,Jr,8/31/1961,10/31/2002
265,Tabby,Bruins,U,IV,3/8/1960,11/28/2002
266,Friedrick,Jeffryes,G,IV,11/14/1976,2/21/2002
267,Winifred,Van Son,U,IV,8/14/1967,12/20/2004
268,Herbert,O'Hallihane,U,Jr,9/7/1978,12/2/2004
269,Mellisa,Sansbury,N,III,6/7/1963,2/15/2003
270,Wilmar,Jiricka,N,Jr,5/15/1979,10/19/2002
271,Sibbie,Wooton,R,III,6/14/1963,8/28/2003
272,Valaree,Timbrell,J,Sr,2/6/1970,5/24/2002
273,Allsun,Tolomei,G,II,1/22/1974,9/16/2004
274,Jessalin,Franchioni,M,Sr,9/3/1973,1/20/2003
275,Robinet,Eglinton,N,III,5/21/1965,3/1/2004
276,Breena,Manuel,M,II,3/31/1966,2/23/2001
277,Dollie,Padbery,B,Jr,2/9/1968,4/15/2002
278,Byrom,Leggett,S,Jr,8/1/1970,6/20/2004
279,Alleen,Oleksinski,Z,IV,5/26/1973,9/7/2000
280,Jehu,Heephy,Y,IV,4/20/1972,12/29/2001
281,Shalna,Howle,I,Sr,5/3/1974,9/3/2004
282,Thomasa,Brumfield,G,Jr,4/21/1973,9/6/2002
283,Freemon,Giovanazzi,W,III,8/23/1971,10/9/2002
284,Stearne,Gullen,L,IV,6/22/1970,1/23/2004
285,Lissa,Hearnah,S,IV,10/19/1962,8/28/2004
286,Jewelle,Halliburton,Y,IV,4/22/1965,11/19/2001
287,Brody,McCosker,T,II,9/14/1963,9/17/2001
288,Leoline,Maxwaile,Z,Sr,9/5/1976,4/30/2004
289,Tallulah,Ecles,H,Jr,1/15/1973,5/29/2000
290,Merell,Tapner,R,Sr,10/4/1970,1/24/2001
291,Erskine,Schall,N,Sr,5/20/1963,10/13/2000
292,Sheri,Vanyard,H,Jr,3/29/1972,2/18/2002
293,Alana,Maker,V,Sr,9/27/1969,3/26/2003
294,Wenda,Filip,N,II,3/20/1973,10/11/2000
295,Wren,Abbys,F,II,5/28/1977,6/28/2003
296,Quincy,Di Carlo,Z,IV,8/28/1972,10/5/2002
297,Ingmar,Tunnicliffe,V,IV,7/28/1974,12/18/2001
298,Giorgia,O'Mullally,S,IV,2/26/1978,1/25/2002
299,Lin,Sutheran,D,IV,2/8/1968,10/23/2002
300,Hyacinthie,Cuss,B,Sr,1/30/1968,10/26/2002
301,Susan,Houtbie,W,III,11/21/1973,1/26/2004
302,Ruthanne,Sicely,W,Sr,3/24/1972,2/28/2004
303,Sibbie,Bandiera,P,Jr,2/11/1969,7/24/2000
304,Georgine,Valentelli,D,IV,10/12/1962,12/17/2003
305,Merna,Call,Y,Jr,7/11/1972,7/22/2003
306,Zebulen,De Bischop,B,Jr,1/31/1979,5/17/2003
307,Halli,Beadle,P,IV,1/20/1978,12/24/2001
308,Mikkel,Belcher,D,Sr,3/6/1972,5/14/2001
309,Gillie,Kilmaster,F,Sr,4/11/1965,9/10/2004
310,Baudoin,Monck,E,III,7/9/1970,11/26/2003
311,Jackquelin,Bedell,I,IV,7/31/1973,5/12/2004
312,Thacher,Victor,P,IV,9/7/1968,9/9/2004
313,Tally,Dudliston,L,IV,6/18/1969,11/12/2001
314,Zeb,Kerwick,O,Sr,6/6/1978,1/10/2003
315,Linnet,Beddingham,W,IV,7/24/1966,8/19/2000
316,Dame,Tregiddo,C,Jr,8/14/1975,3/18/2000
317,Hope,Kehoe,H,III,1/1/1966,3/20/2000
318,Dianemarie,O'Dunniom,B,II,6/4/1975,11/4/2000
319,Drake,Baistow,W,Sr,7/30/1965,1/2/2001
320,Madlen,Ruppele,G,IV,4/14/1975,7/7/2000
321,Fran,Randals,C,IV,10/18/1964,7/8/2002
322,Bondy,Northbridge,Z,II,5/6/1979,2/12/2000
323,Osgood,Orritt,O,III,9/14/1966,5/1/2003
324,Juli,Battye,S,IV,9/8/1967,2/26/2000
325,Farlee,Portman,C,IV,6/28/1972,3/3/2001
326,Valeda,Mathely,N,Sr,2/22/1964,5/20/2001
327,Mitchel,Caverhill,L,III,2/18/1972,2/26/2000
328,Kinnie,Abramof,F,Jr,5/3/1966,3/29/2004
329,Tiena,Cleary,L,IV,6/14/1974,1/13/2001
330,Antoni,Irnis,C,Jr,4/20/1972,4/1/2002
331,Ollie,Alcalde,W,III,10/3/1979,2/15/2000
332,Shirlene,Honatsch,T,IV,4/7/1973,6/13/2004
333,Renard,Dymond,H,II,2/4/1960,2/27/2002
334,Celinda,Stringfellow,A,II,11/23/1964,1/22/2004
335,Merv,Jeves,U,II,4/25/1968,6/26/2004
336,Robinia,Kemmons,U,Jr,10/7/1966,5/8/2000
337,Zulema,McVitie,Y,Jr,1/30/1978,4/27/2004
338,Aubrie,Portwain,E,IV,8/12/1979,12/1/2003
339,Dominica,Shrive,I,IV,5/31/1964,10/28/2002
340,Obed,Babon,C,Jr,1/18/1968,9/19/2001
341,Herold,Stot,L,III,8/4/1960,12/1/2003
342,Osgood,Stanyer,U,Jr,3/13/1975,6/28/2000
343,Oralee,Youtead,S,III,8/13/1972,7/23/2004
344,Alejandrina,Helin,I,III,9/24/1965,8/11/2000
345,Amaleta,Donner,Z,III,8/28/1966,11/11/2000
346,Anneliese,Seabert,H,Sr,12/19/1964,11/19/2002
347,Pinchas,Morilla,M,Jr,7/26/1969,7/1/2002
348,Tove,Carlon,S,II,11/3/1966,6/4/2002
349,Dena,Barbisch,J,Sr,3/24/1973,1/11/2001
350,Lacy,Rolfe,S,Jr,12/15/1977,6/15/2003
351,Patty,Maybery,O,III,10/6/1973,3/17/2000
352,Daloris,Coathup,V,Sr,11/23/1962,9/29/2002
353,Franky,Darwent,X,II,2/1/1962,8/14/2003
354,Kerrill,Collerd,C,Jr,10/29/1970,10/12/2000
355,Colver,Poyser,B,IV,3/29/1970,9/5/2000
356,Sunny,Bazelle,K,IV,7/15/1979,4/3/2000
357,Padraic,Harvatt,F,III,4/11/1976,10/28/2001
358,Barthel,Ivanchikov,O,Sr,1/17/1974,4/20/2000
359,Franz,Daysh,Q,II,6/28/1966,11/19/2004
360,Teodorico,Cordey,B,IV,5/9/1975,12/30/2003
361,Mannie,Menault,R,III,4/15/1977,3/14/2003
362,Tanny,Sego,J,Sr,12/16/1977,7/5/2003
363,Auroora,Ferrey,K,Sr,3/5/1970,8/10/2003
364,Alvera,O' Concannon,S,II,7/13/1960,4/2/2004
365,Don,Monahan,X,Jr,1/12/1975,12/20/2001
366,Beau,Blesing,A,II,3/19/1966,7/16/2002
367,Crista,Gowlett,L,Jr,1/13/1979,1/4/2002
368,Raffarty,Gittens,S,II,3/13/1975,8/4/2000
369,Karly,Marques,C,IV,3/21/1964,9/1/2000
370,Bianka,Jaynes,W,Sr,1/24/1962,10/26/2004
371,Nichols,Leynham,O,II,1/15/1960,6/27/2001
372,Orlando,Shelmerdine,M,IV,12/25/1963,3/15/2000
373,Candice,Edelman,L,II,10/22/1961,8/17/2001
374,Grayce,Shillinglaw,X,IV,1/11/1973,6/6/2004
375,Myriam,Fateley,I,Jr,6/2/1979,1/16/2003
376,Gloriane,Mott,B,IV,2/16/1979,1/2/2002
377,Franklyn,Carik,X,Jr,6/3/1979,9/29/2003
378,Vallie,Espin,M,II,3/14/1970,8/10/2000
379,Aeriel,Horney,B,IV,1/20/1968,7/31/2000
380,Osbert,Groger,A,Sr,10/6/1962,1/17/2000
381,Durand,Jerson,T,IV,11/12/1977,7/25/2000
382,Humfried,Baldcock,H,IV,8/25/1979,12/10/2002
383,Sharron,Ruben,K,II,7/24/1979,3/28/2004
384,Germayne,Skase,R,II,6/20/1965,9/19/2001
385,Isa,Witard,U,Jr,11/12/1967,6/25/2003
386,Correy,Roddick,A,Sr,4/18/1961,1/12/2003
387,Cosette,Dugald,I,III,2/11/1973,6/4/2001
388,Olenka,Inworth,R,III,12/20/1970,11/4/2003
389,Esmeralda,Spaight,C,Jr,7/17/1977,10/12/2003
390,Carce,Wicher,Z,III,2/27/1971,1/31/2003
391,Muffin,Bigly,J,IV,6/15/1962,4/21/2003
392,Kip,Quigg,W,II,6/11/1970,8/23/2004
393,Kiri,Esplin,W,III,11/1/1971,6/9/2002
394,Anneliese,Morratt,H,III,2/23/1978,7/12/2002
395,Lauren,Archer,A,Sr,10/13/1978,9/15/2000
396,Hazel,Tumini,M,Jr,2/14/1966,11/19/2003
397,Jayson,Ewbanche,N,Jr,11/29/1975,8/7/2002
398,Brod,Rowat,C,Sr,8/11/1970,1/25/2004
399,Alysia,Faldo,R,IV,1/7/1966,3/12/2001
400,Samantha,Laurie,Z,Sr,12/7/1968,9/28/2003
401,Dominica,Takkos,C,Jr,12/13/1972,12/21/2003
402,Wiley,Wozencroft,M,III,7/16/1963,9/27/2001
403,Prissie,Stother,W,IV,9/25/1972,4/22/2004
404,Paulie,Toye,H,III,12/16/1976,4/1/2003
405,Antoinette,MacConnechie,R,Sr,8/8/1972,12/31/2003
406,Rusty,Sissland,S,Sr,8/29/1967,8/30/2004
407,Maximo,Tilzey,X,IV,4/29/1974,2/25/2000
408,Benyamin,Rothert,W,II,1/20/1960,1/29/2004
409,Emilio,Marcombe,S,Sr,9/21/1972,9/17/2000
410,Bette,Chadwyck,Q,II,7/4/1978,5/13/2002
411,Joletta,Nacci,F,Jr,11/26/1965,7/19/2004
412,Gabriel,Labram,D,II,6/7/1971,8/8/2003
413,Stafani,Cosby,R,III,11/2/1962,5/31/2001
414,Cchaddie,Plane,X,II,11/9/1975,5/31/2004
415,Janine,Stolworthy,U,II,1/8/1962,10/14/2004
416,Tarrah,Inett,V,II,7/10/1967,8/15/2002
417,Cyrill,Redler,M,IV,2/7/1973,5/30/2004
418,Anna-diane,Placido,B,II,6/4/1964,1/19/2002
419,Elnar,Bowfin,J,III,11/30/1965,12/4/2002
420,Venita,Camelin,J,Sr,5/27/1979,7/12/2002
421,Myrvyn,Pilmer,U,IV,3/11/1964,12/11/2004
422,Jilly,Quartermaine,B,Sr,3/23/1974,9/8/2000
423,Barbey,Le Sieur,Y,II,11/25/1964,8/13/2004
424,Alethea,Godby,Y,Sr,8/4/1971,2/28/2003
425,Katleen,Haggerty,E,II,6/29/1971,6/14/2000
426,Skipp,Buzin,S,IV,12/8/1967,4/22/2003
427,Shurwood,Trinder,E,IV,7/24/1978,11/28/2004
428,Matthew,Belbin,D,Jr,8/30/1965,5/6/2004
429,Roderic,Prydie,F,Jr,11/22/1967,10/22/2004
430,Guillema,Geraldez,E,III,11/29/1975,8/18/2004
431,Melita,Margerrison,Z,IV,10/26/1976,6/22/2004
432,Vita,Esland,S,II,1/2/1973,3/2/2001
433,Sela,Burkett,P,IV,3/11/1972,10/25/2001
434,Walker,Newbury,L,II,2/23/1979,12/3/2000
435,Yvon,Dallicott,V,Sr,3/7/1970,9/3/2001
436,Pam,Calleja,P,II,10/16/1976,12/28/2002
437,Sheba,Mannering,K,Sr,8/17/1966,4/13/2002
438,Lenette,Chudleigh,Z,Sr,4/4/1969,11/19/2003
439,Rachelle,Skottle,D,Jr,11/9/1963,11/8/2001
440,Mateo,Lerigo,L,IV,9/9/1960,12/11/2002
441,Inessa,Went,X,Jr,12/16/1976,4/9/2002
